52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
15:58:15.3 (3180118)|USER_INFO|[EXTERNAL]|0057Q000000qWuA|marwa-majdoub@resourceful-koala-fluhag.com|(GMT+01:00) heure normale d’Europe centrale (Europe/Paris)|GMT+01:00
15:58:15.3 (3316563)|EXECUTION_STARTED
15:58:15.3 (3349381)|CODE_UNIT_STARTED|[EXTERNAL]|01p7Q000001edKJ|testUpdateAccountCA.test()
15:58:15.3 (14266287)|HEAP_ALLOCATE|[79]|Bytes:3
15:58:15.3 (14373712)|HEAP_ALLOCATE|[84]|Bytes:152
15:58:15.3 (14395194)|HEAP_ALLOCATE|[399]|Bytes:408
15:58:15.3 (14415984)|HEAP_ALLOCATE|[412]|Bytes:408
15:58:15.3 (14434028)|HEAP_ALLOCATE|[520]|Bytes:48
15:58:15.3 (14462778)|HEAP_ALLOCATE|[139]|Bytes:6
15:58:15.3 (14479170)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:67
15:58:15.3 (14578794)|METHOD_ENTRY|[2]|01p7Q000001edKJ|testUpdateAccountCA.testUpdateAccountCA()
15:58:15.3 (14598665)|STATEMENT_EXECUTE|[2]
15:58:15.3 (14616688)|STATEMENT_EXECUTE|[2]
15:58:15.3 (14635933)|METHOD_EXIT|[2]|testUpdateAccountCA
15:58:15.3 (14695135)|HEAP_ALLOCATE|[52]|Bytes:5
15:58:15.3 (14726038)|HEAP_ALLOCATE|[58]|Bytes:5
15:58:15.3 (14735630)|HEAP_ALLOCATE|[66]|Bytes:7
15:58:15.3 (14785801)|STATEMENT_EXECUTE|[3]
15:58:15.3 (14789223)|STATEMENT_EXECUTE|[4]
15:58:15.3 (14838234)|HEAP_ALLOCATE|[4]|Bytes:4
15:58:15.3 (14928165)|HEAP_ALLOCATE|[4]|Bytes:14
