52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
15:50:28.3 (3441541)|USER_INFO|[EXTERNAL]|0057Q000000qWuA|marwa-majdoub@resourceful-koala-fluhag.com|(GMT+01:00) heure normale d’Europe centrale (Europe/Paris)|GMT+01:00
15:50:28.3 (3555463)|EXECUTION_STARTED
15:50:28.3 (3593827)|CODE_UNIT_STARTED|[EXTERNAL]|01p7Q000001edKJ|testUpdateAccountCA.test()
15:50:28.3 (10375599)|HEAP_ALLOCATE|[79]|Bytes:3
15:50:28.3 (10511733)|HEAP_ALLOCATE|[84]|Bytes:152
15:50:28.3 (10534323)|HEAP_ALLOCATE|[399]|Bytes:408
15:50:28.3 (10554464)|HEAP_ALLOCATE|[412]|Bytes:408
15:50:28.3 (10573571)|HEAP_ALLOCATE|[520]|Bytes:48
15:50:28.3 (10608400)|HEAP_ALLOCATE|[139]|Bytes:6
15:50:28.3 (10626839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:64
15:50:28.3 (10699613)|METHOD_ENTRY|[2]|01p7Q000001edKJ|testUpdateAccountCA.testUpdateAccountCA()
15:50:28.3 (10715239)|STATEMENT_EXECUTE|[2]
15:50:28.3 (10735864)|STATEMENT_EXECUTE|[2]
15:50:28.3 (10780844)|METHOD_EXIT|[2]|testUpdateAccountCA
15:50:28.3 (10844934)|HEAP_ALLOCATE|[52]|Bytes:5
15:50:28.3 (10880666)|HEAP_ALLOCATE|[58]|Bytes:5
15:50:28.3 (10914938)|HEAP_ALLOCATE|[66]|Bytes:7
15:50:28.3 (10976019)|STATEMENT_EXECUTE|[3]
15:50:28.3 (10979974)|STATEMENT_EXECUTE|[4]
15:50:28.3 (11042987)|HEAP_ALLOCATE|[4]|Bytes:4
15:50:28.3 (11144614)|HEAP_ALLOCATE|[4]|Bytes:14
15:50:28.3 (11318846)|VARIABLE_ASSIGNMENT|[4]|this.Name|"Test Account 1"|0x3023bb1b
15:50:28.3 (11383943)|VARIABLE_SCOPE_BEGIN|[4]|acc1|Account|true|false
15:50:28.3 (11436127)|VARIABLE_ASSIGNMENT|[4]|acc1|{"Name":"Test Account 1"}|0x3023bb1b
15:50:28.3 (11483044)|STATEMENT_EXECUTE|[5]
15:50:28.3 (11542851)|HEAP_ALLOCATE|[5]|Bytes:8
15:50:28.3 (11579316)|DML_BEGIN|[5]|Op:Insert|Type:Account|Rows:1
15:50:28.3 (11628198)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:50:28.3 (96258782)|DML_END|[5]
15:50:28.3 (96325404)|STATEMENT_EXECUTE|[7]
15:50:28.3 (96407786)|HEAP_ALLOCATE|[7]|Bytes:4
15:50:28.3 (96544879)|HEAP_ALLOCATE|[7]|Bytes:24
15:50:28.3 (96635009)|VARIABLE_ASSIGNMENT|[7]|this.Name|"Chemise Verte longue (4 more) ..."|0x4d0d0526
15:50:28.3 (96649915)|HEAP_ALLOCATE|[7]|Bytes:7
15:50:28.3 (96679067)|VARIABLE_ASSIGNMENT|[7]|this.Family|"Chemise"|0x4d0d0526
15:50:28.3 (96720125)|VARIABLE_SCOPE_BEGIN|[7]|pd1|Product2|true|false
15:50:28.3 (96756975)|VARIABLE_ASSIGNMENT|[7]|pd1|{"Name":"Chemise Verte longue (4 more) ...","Family":"Chemise"}|0x4d0d0526
15:50:28.3 (96771076)|STATEMENT_EXECUTE|[8]
15:50:28.3 (96806571)|HEAP_ALLOCATE|[8]|Bytes:8
15:50:28.3 (96828109)|DML_BEGIN|[8]|Op:Insert|Type:Product2|Rows:1
15:50:28.3 (96873269)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:50:28.3 (124753980)|DML_END|[8]
15:50:28.3 (124793164)|STATEMENT_EXECUTE|[11]
